content,score,thumbsUpCount,topic
It's a good one. Though I've paid by mistake 😂,4,0,Positive User Experience
Excellent app. It would be even better if the date of the notes could change.,5,0,Request for Enhancements
Great app. Please add the feature of syncing with Google Drive and make it optional ❤️,5,0,Request for Enhancements
"I found out about this app through Youtube and now I love this app, it's simple and there are no ads either!",5,0,User-Friendly Design
Very good app......keep up the good work.....just make the in-app lock feature better please to make it more secure..... thankyou for the app.....😊,5,0,Request for Enhancements
"Honestly to me personally it's perfect, what I was looking for and easy. I'm impressed and satisfied 😉☺",5,0,Positive User Experience
2 stars for stripping the app and making basically anything worth using tucked behind a paywall. Also the lock screen showing half of your notes is a bit laughable,2,0,Request for Enhancements
"Super simple notes that looks like a text messaging app, but the threads stay on your own device",5,0,Unique Note Organization
"Brilliant, marvellous, tremendous, superb, excellent. I love this app a lot. Thanks a lot developer r for giving us an amazing app.",5,0,Positive User Experience
Thank you for the crash fix. I will be sure to back up data on a regular basis. Will recommend app to others.,5,0,Backup and Recovery Improvements
"Thr idea is nice, and the doing is good, sadly i need more thr this, but for somewone who just wants to take notes, is great.",4,0,Ease of Use
"Cool app , just add documents in attachment section so i can save some documents else everything work good as intended (:)",5,0,File and Document Support
Thank you for the best app. It would be really helpful if you could add autobackup.,5,0,Backup and Recovery Improvements
This app is so freakin awesome.. really good to keep track of ideas or to do things!! definitely recommend.,5,0,Positive User Experience
Option to export the notes as text files for offline (and universal) backup would be great,5,0,Backup and Recovery Improvements
Easy to use. Please if you could consider adding an option to archive some notes.,4,0,Request for Enhancements
"App is good. But one feature is missing, Remember notification. Can you add it ? For something for remember.",4,0,Reminders and Notifications
"That is an impressive note taking app, the design is awesome!!!! Great job to the developers!!!",5,0,User-Friendly Design
Just what I looked for ❤️,5,0,Initial Impressions
"I find this to be not simplistic at all, more difficult than needs to be.",3,0,Ease of Use
Perfect notes app !! It will be more than handy if share to feature is added to it,4,0,Request for Enhancements
"It is nice, one question how to add documents( pdf or office file )",4,0,"File and Document Support: Requests for the ability to attach and save various document types (e.g., PDFs, Word files)."
"Don't know what it is, but it's not a simple notepad, I could not write the body of the first note, only the title.",1,0,Editing Features
"Great app, just misses encryption for your notes for extra privacy.",2,0,Request for Enhancements
Plz add folder by folder save notes & pure black theme & login by email & date modify options tnx☺️,4,0,Search and Organization Tools
"Clean, simple and easy to use All you ever need on a note app",5,0,User-Friendly Design
I like it but please let us put a password to lock the files also.,4,0,Request for Enhancements
This is everything anyone would ever want. This app is awesome once you learn how to use it!,5,0,Positive User Experience
I loved the UI and it really works well.,5,0,User-Friendly Design
"I love the idea, just still not sure what to use it for. Great dev, too.",5,0,Ease of Use
"Note to self: There are still apps out there developed for specific use cases, and don't try to do everything.",5,0,Other
Can't figure out how to get it to go to certain days and if I lock it how to reopen. Need operators manual sent to my email,1,0,Requests for Communication
"Great notes app. Simple, private, excellent.",5,0,Positive User Experience
Best Note app I've ever used,4,0,Positive User Experience
"restoring data doesn't work its just loading but nothing loaded , please fix that",4,0,Backup and Recovery Improvements
"I Should have Known Better than to Store PassWords in this thing, it will Not Open, Closes Instantly. Boo 👎",1,0,App Crashes
"Suddenly started crashing, making me lose all my notes.",1,0,App Crashes
"Great app, but crashes after the last update. --- Everything's OK now.",5,0,App Crashes
"Adding widgets would be nice, but this app still deserves 5 stars!",5,0,Positive User Experience
"Clean interface, quick and no ad. This app is very good.",5,0,User-Friendly Design
please support custom font style or Default and font size ... wish you long life ... really nice app.,5,0,Request for Enhancements
App crashes and I can't access my notes since the update rolled out.,1,0,App Crashes
perfect app to off load your mind!! it's like chatting with yourself. absolutely love apps from this developer!,5,0,Therapeutic Note-Taking
I accidentally deleted a note and could not recover it but other than that it's a great app I would highly recommend,4,0,Backup and Recovery Improvements
"Some of the others were right. I used to write a lot in this app, but when I tried to open it again today, it couldn't be opened. I'm just wondering why the app is like this ?",2,0,App Crashes
Limited functionality & overly rigid structure for inputting notes.,2,0,Request for Enhancements
Great app! Use it daily for personal notes and reminders.,5,0,Ease of Use
"Hi tanuj, can you please add markdown support for some quick formatting. And is this project open source? I'd love to contribute if that's the case.",5,0,Request for Enhancements
"Please add Auto Backup. Please 🥺, Amazing app without ad thank you.",5,0,Backup and Recovery Improvements
"Somewhere I can write without hesitation or worry, it's more than just app.",5,0,Therapeutic Note-Taking
"You guys are doing a great service to the folks like me, who wants to detox their digital lifestyle with all your amazing apps. God Bless you with loads of happiness & success 💖",5,0,Developer Appreciation
Love it! Exactly what i needed for all my data/links/info keeping.,5,0,Positive User Experience
"Looks great, works great, zero learning curve.",5,0,Positive User Experience
I was LOVING this app and now it won't open. I was using it to keep my life organized. I'm so mad right now. Please fix it.,2,0,App Crashes
"It's worthy to be kept, nice design and no ads I liked it a lot👍",5,0,User-Friendly Design
I can't upload videos but it's still useful. I really like this app :),5,0,Ease of Use
now it's good.. thanks a lot.. 😍😍 it's a convenient app helpful with its simplicity.. Is it possible to have quick option.. like side bar..,5,0,Ease of Use
Just one word - Amazing 😍,5,0,Initial Impressions
Yep it is the the perfect app,5,0,Positive User Experience
"CRASHES EVERY TIME I TRY USE IT. I'll give you a better rating after I've used the App. I'm not capable of writing a program. However in my younger days, I could Easily Make a pretty Awesome Website! Right now I just need to Take my Meds the RIGHT WAY! I don't abuse my Medicine! If all those other people would Quit Abusing the Medication my Husband and I use, then the Senior Citizens such as ourselves wouldn't be stuck with NOTHING!",3,0,App Crashes
Funktioniert großartig. Sehr zu empfehlen.,5,0,Positive User Experience
What's wrong with the app? It keeps on crashing.,1,0,App Crashes
Nice app,5,0,Initial Impressions
Getting crash,1,0,App Crashes
متكاملة من حيت الميزات سهلة شكراا كتيرااا لمبرمجيها ول play stores على هاد التطبيقات المفيدة.,5,0,Positive User Experience
Best one,5,0,Initial Impressions
Best ever 🥇🏆,5,0,Initial Impressions
Excellent,5,0,Initial Impressions
Good,5,0,Initial Impressions
Excellent,5,0,Initial Impressions
Great,5,0,Initial Impressions
Terrific,5,0,Initial Impressions
Bagus. Saya suka,5,0,Positive User Experience
Great,5,0,Initial Impressions
Ideal,5,0,Positive User Experience
Fake,1,0,Other
all good,5,0,Positive User Experience
New way to note,5,0,Initial Impressions
Good fir notes,5,0,Ease of Use
So far so good,4,0,Initial Impressions
Sai Aung Murng,5,0,Other
"please provide feature to add and edit caption for files and to create folder inside a folder (nested folder) .you are the best of your types. this is the best note taking app and i am saying this after installing and trying more than 100 notes app.nobody ever thought of providing chat like interface for note taking app. none of them provide video sending facility , you are the only one who does. this is must have app for students. it can create timeline of text & files for your study.",5,0,Search and Organization Tools
Good,5,0,Positive User Experience
"Perfecta para notas rápidas, fácil de visualizar con fechas inmediatas.",5,0,Ease of Use
Satisfactory,4,0,Positive User Experience
Good,5,0,Initial Impressions
Awesome simplicity.,5,0,User-Friendly Design
User friendly.,5,0,User-Friendly Design
Epic awesomeness.,5,0,Initial Impressions
Great app,5,0,Positive User Experience
Great,5,0,Initial Impressions
Nice. Good.,5,0,Initial Impressions
Just wow.,5,0,Initial Impressions
Awesome 👍,5,0,Initial Impressions
Superb App!! ❤️❤️,5,0,Initial Impressions
Good,3,0,Positive User Experience
Genius,5,0,Positive User Experience
Amazing,5,0,Initial Impressions
🔥🔥🔥,5,0,Other
Awesome,5,0,Initial Impressions
Noicee,5,0,Positive User Experience
Great app,5,0,Positive User Experience
"Only problem I have, is moving it to my San Disk Card. I haven't had a Mobile that I could move Apps over to to the San Disk. Now I have a Motorola Moto Stylus 5G 2022. I put a 269 GB SanDisk in it. But I can't get your App over to the SD Card.",4,0,Other
Good,1,0,Initial Impressions
Excellent app,5,0,Positive User Experience
Fine though,5,0,Other
Thoughtful UX,5,0,User-Friendly Design
Perfect,5,0,Initial Impressions
Wonderful,5,0,Positive User Experience
Nice,5,0,Initial Impressions
Is crashed,1,0,App Crashes
Very nice,5,0,Initial Impressions
Great app bro,5,0,Positive User Experience
Awesome!,5,0,Initial Impressions
❤️❤️❤️❤️❤️❤️,5,0,Positive User Experience
Love this,5,0,Positive User Experience
Great app!,5,0,Initial Impressions
useful app.,5,0,Ease of Use
Useful 🫶🏽,5,0,Ease of Use
Brilliant app,5,0,Initial Impressions
good app,5,0,Positive User Experience
The best,5,0,Initial Impressions
Cool,5,0,Initial Impressions
Best,5,0,Initial Impressions
Useful,5,0,Ease of Use
Worst app,1,0,Other
Ok,5,0,Other
amazinggg,5,0,Initial Impressions
super,5,0,Initial Impressions
need checkboxes,5,0,Request for Enhancements
Es una buena aplicación para organizar tus ideas y pensamientos,5,0,Therapeutic Note-Taking
Love the 💡 idea,5,0,Initial Impressions
It's not very will,1,0,Other
I use it a lot,5,0,Ease of Use
There is no option to save Pdf txt word PPT file,1,0,"File and Document Support: Requests for the ability to attach and save various document types (e.g., PDFs, Word files)."
Cannot open the app.,1,0,App Crashes
Trying this app. I will give more detailed review after a week.,3,0,Initial Impressions
This app and the person that made it are great!,5,0,Positive User Experience
Im not paying to have voice notes,1,0,Other
The app is good.thanks for your quick response.,4,0,Developer Appreciation
Feature request: Archive note group,5,0,Request for Enhancements
"Great app,easy to use.",5,0,User-Friendly Design
Omg..what a good app..I really needed it..,5,0,Positive User Experience
Awesome note taking app,5,0,Positive User Experience
A great concept,5,0,Initial Impressions
I can't open the app anymore.,1,0,App Crashes
Very useful I like it thanks,4,0,Positive User Experience
Would love a widget too,5,0,Other
How about a 'new note' app shortcut...?,5,0,Request for Enhancements
I had given it 5 stars but had to change it,1,0,Other
great app to vent into :),5,0,Therapeutic Note-Taking
"Well thought out, very useful app.",5,0,Positive User Experience
Very very very..... Useful. Try it once.,5,0,Positive User Experience
Perfect. Exactly what I needed 😃,5,0,Positive User Experience
Would love an export to md so I can use them for obsidian,5,0,File and Document Support
Chat like notes. Amazing.,5,0,Unique Note Organization
Great note app! It's my new journal,5,0,Therapeutic Note-Taking
This application is too good...+its free,5,0,Positive User Experience
hello I love the app thank you for creating it,5,0,Initial Impressions
Best notes app I've ever used!!!,5,0,Positive User Experience
Does a simple job well,5,0,Ease of Use
Fantastic note taking app. 5 stars,5,0,Positive User Experience
This app was more helpful Thank you for giving this app for us,5,0,Therapeutic Note-Taking
"Loved it, bought the pro as well.",5,0,Trial Usage
I don't like this note to self!,2,0,Other
Really love the msg like design,5,0,Unique Note Organization
"first impression, this app is cool.",5,0,Initial Impressions
"Really, really useful little app 👍",5,0,Ease of Use
The perfect note taking app,5,0,Positive User Experience
Best Minimal Notepad.,5,0,Positive User Experience
great app very useful,5,0,Positive User Experience
The whole app you need for being yourself,5,0,Therapeutic Note-Taking
It's great app,5,0,Positive User Experience
Best notes app,5,0,Positive User Experience
Best notes app,5,0,Positive User Experience
Ya its good apps.,5,0,Positive User Experience
Does the App collect personal info?,5,0,Other
Very very nice,5,0,Initial Impressions
Best app ever,5,0,Positive User Experience
I like it.,4,0,Initial Impressions
Not my type. Difficult,1,0,Other
Gr8 app so far,4,0,Initial Impressions
I loved it,4,0,Initial Impressions
use it for whateva you wanna!📖📚📓📃💡📒.,4,0,Other
"Thank you bhaiya, once again. 👍❤️❤️",5,0,Developer Appreciation
This is best for me.,5,0,Positive User Experience
Exactly what i wanted,5,0,Initial Impressions
Love it so far.,5,0,Initial Impressions
Phenomenal idea and implementation!,5,0,Initial Impressions
Nice and easy 👌👍,5,0,Ease of Use
It's very good app,5,0,Positive User Experience
Uninstall. Thank You.,1,0,Other
Can you add to hide a note,5,0,Search and Organization Tools
nice place to put your thoughts.,4,0,Therapeutic Note-Taking
really amazing lock lock like whatsapp,5,0,Unique Note Organization
I love this app!!,5,0,Initial Impressions
Talk about creativity at its peak: this is it,5,0,Positive User Experience
Pretty helpful actually,4,0,Positive User Experience
Is this app available on iOS phones ?,4,0,Other
It was good until last update,1,0,App Crashes
Awesome idea of an app.,5,0,Initial Impressions
My favourite notes taking app,5,0,Positive User Experience
First impression seems good,5,0,Initial Impressions
This is a grate app,5,0,Positive User Experience
I am grateful for this app,5,0,Developer Appreciation
Very Helful App.,5,0,User-Friendly Design
Just what I needed.perfect,5,0,Positive User Experience
Thanks for making this app. It's been useful so far but I wish you would add checkboxes sometime in the future.,4,0,Request for Enhancements
Hey Can you add reminder feature to chat like @remind so the reminder comes through as if from a chat and recurring reminders.,5,0,Reminders and Notifications
Woooooo,5,0,Other
"Private, Hopefully it stays that way. Like it so far.",5,0,Initial Impressions
Automatic Integrated Google Drive Backup option needed. Include it in the next update please.,5,0,Backup and Recovery Improvements
"Hi, add the Starring Feature to the Chat note would be nice Very nice .... Thanks Good Job done, Great .... Keep it up ! And also if colour put for notes that would be great , a feature !",5,0,Request for Enhancements
Bahut accha app hai. It is very useful for me. And all features are amazing and it is also mininalistic style type. And good for goal oriented persons.,5,0,Positive User Experience
Application is really helpful... But what I personally think is that there should be an online backup option also... It'll be more convenient feature... Rest everything is very fine for me...😌,5,0,Backup and Recovery Improvements
Love this perfect just would love font size bit larger in notes or font setting then perfect 🥰 wanting something like this for ages. Oh and pin favourite note top like shopping list most used.  Maybe reminder to a note be handy too,5,0,Reminders and Notifications
This is a lovely app. really well done to the developers. If you could some how add notification that would be amazing! Maybe have an app pop up as a notification at a set time. Great app though,5,0,Reminders and Notifications
"Aeeii! This is one of my yes 3 or4 most 'cherished'{Yes!} apps just discovered. Appreciate the dark background tho very much prefer a not shiney bright full black but rather muted dark. But still the look feel of this app is great such as the font. Most great is highest degree of multimedia. Words from wherever & whatever length sound recording, pictures, web links everything & all work flawlessly.",5,0,Positive User Experience
Keeps deleting all your writing randomly. App is unreliable,1,0,App Crashes
Hope they can add a function where you could place and arrange the texts in places you want like dragging below messages above another... And the ability to star or bookmark text that you think that are more important ...,4,0,Request for Enhancements
"I'm a user of ProLauncher and I loved the notes section of the app, I just instantly knew I had to buy this. Thanks!",5,0,Positive User Experience
"Amazing app, it does what it says. One complaint, though - it would be better if sent images are with higher quality. Other than that, everything else is fine.",4,0,Request for Enhancements
"such a cute, nice app!!! the features are cute and less stressful (much easier) to organize notes. easy to use! 👍👍👍",5,0,Positive User Experience
"This one a super duper good. The option for offline database backup is very thoughtful. I'm super nitpicky with apps (dumped jotterpad, evernote and Google keep, currently using Obsidian and bear), and I find this stellar. Bravo. 10/10.",5,0,Backup and Recovery Improvements
"App crashing. Please help. I need the app urgently ‼️ Edit: read other responses, I couldn't find any backup on my phone. Why not bring another update to restore the app? I'll lose a lot of information if I uninstall. Very bad! Edit: what if I didn't backup?",1,0,App Crashes
It seems to be a great app. But I would like to get encrypted sync option so that I could get all my notes in my PC. Otherwise I'll have to stop using the app.,4,0,Backup and Recovery Improvements
"Looks very good, but I need an app with a true-black dark theme because my phone glitches when the background is just a shade of gray. Otherwise, I would love to give this app a try :)",4,0,User-Friendly Design
"I will be using this on a daily basis. It's very intuitive, no glitches, simple and clean design. No ads, no subscriptions, no bulls--t. The only thing it's missing is a donate button.",5,0,User-Friendly Design
Please make something for windows systems as well so that i can sync my notes across my devices. I had been using WhatsApp for the exact same functionality which was fine but this is game changing if there is a Windows app or even a Website,5,0,Other
"I don't need such a complicated app. My first time using it was a complete bomb and I'm very disappointed. I created a new recipe and thought I saved it. When I went back to review, only the title was saved.",1,0,Data Loss Anxiety
"EDIT: Thank you for clearing up the misunderstanding! So it's more of a progress bar to see the notes we created. No limits on notes, nice!",5,0,Positive User Experience
Its a great app and I love it! That would be awesome if we could bold texts or idk like making a text italic or even highlight texts... All good though.,4,0,Editing Features
"Very useful app, the only missing feature is the option to share or export an entire note, for example my journal or any other note.",4,0,Request for Enhancements
Last update messed it up. App not opening. Don't want to uninstall & install since will loose all my bookmarks 😡. Is the developer going to work on a fix or given up.,1,0,App Crashes
"Hi, Dev I appreciate you thought and selfless service. Keep it up. I recommend to my friends and collegues. Deserves ⭐⭐⭐⭐⭐. Keep updating the app with more new features.",5,0,Developer Appreciation
"Hi, is there way to change type of writing as in the oldest version ? Using App became uncomfortable during writing from left to right I write Arabic language and I face a problem in app",1,0,Editing Features
Great app been using for a while. I typed a note/msg recently and im not able to select and copy it. However the msgs/notes prior to it i am able to copy and share. Is there something i am missing?,5,0,Editing Features
Havent used as much I mean just from toggling round on it I'm believing this might be exactly what I've been looking for I've already risked the $10 for the pro features don't disappoint me as I will be back after a month or so to give an update 💯💯💪🏽💪🏽💪🏽,5,0,Trial Usage
"I've been loving it, but it needs some features like, the ability to search notes, like by Date or just plain messages.",5,0,Search and Organization Tools
"The app is quite good, just miss the feature to sort the notes based on alphabetical order, modified time or create time, etc",5,0,Search and Organization Tools
Such a beautiful application The animation and the design is soo pretty But i think it should be able to create unlimited notes( seperate chat boxes) as of now we can only make 10 It also needs a to-do list option And it's perfect for me And one more it'll be good if we can do a log in and when we use the same account in another device we can get all the data there too,5,0,Request for Enhancements
"Simple, reliable. Update : Why is the app won't open, I use biometric authentication. Everytime authentication pops up, the app crashed. When will this get fixed?",4,0,App Crashes
"Can't edit after adding hyperlink. You can press and hold on an entry to edit, but after adding a hyperlink, it can't be edited any more. Seems like an obvious oversight by the developer.",1,0,Editing Features
"Great app with amazing approach to notes, it would be great if you make the notes picture's visible inside the notes and also clickable(like profiles).",5,0,Request for Enhancements
Great concept.Bring the following 1.auto backup 2.password protect specific notes 3.voice note with heading 4.inapp pdf edit /annotations and save 5.reminder 6.stop watxh,3,0,Request for Enhancements
"Simple and user-friendly! No things cluttering screen. 👍 Currently only have 1 issue that the app somehow has internet data usage... Update: okay, thank you for the clarification 😊",5,0,User-Friendly Design
"Very very good app deserve 10 rating out of 5 but will give if you add these features please, google drive or Google account backup,+ offline backup which is already present, + option to select all chats notes. Please add these features asap. Will be very thankful.",2,0,Backup and Recovery Improvements
"Extremely good for my brain. I have the premium and it's amazing, and for a one time payment. I would love to be able to set reminders for a ""message"", just a little notification.",5,0,Reminders and Notifications
Love it I also have a suggestion to 1. Make the search engine searchable in each chat individual independently 2. Make some of the text be able to be locked in case the get deleted by accident,5,0,Search and Organization Tools
"Well at first I have some trouble on this app and the developer is very responsive, this app is actually cool and unique in terms of making notes. I really enjoy using the app. Overall 10 out of 10 in my opinion.",5,0,Positive User Experience
Awesome idea! Adding little preview image to the link notes and also adapting material 3 guidelines will make this app an even more futuristic. Expecting good thinks from this app. Way to go,5,0,Positive User Experience
"This s actually good, but it will be more good if the developer can add custom background, so it would look like a chat, it's better than blank background with solid colour right? ^0^",5,0,Unique Note Organization
Love the simplicity and effectiveness of their app. I love the fact that it is organized as a chat to yourself. Their olauncher is the dream and the notes app is exactly what i wanted. Thank you very much ❤️,5,0,Positive User Experience
Works great!! Perfect for people that like to send themselves reminders on WhatsApp (but the images get deleted). Only down side is you can't send files - can I do a feature request?,5,0,File and Document Support
"please gives thumbnail if I save a YouTube link like in WhatsApp, thanks",5,0,Other
At first..It was wonderful and then after a short while.. I was locked out of the Note to Self App. This app won't let me open up the app...and I had many important things that I kept in this Note to Self App. I'm Extremely disappointed. Now I'm at high risk of losing everything I stored on this app.,1,0,Data Loss Anxiety
A cool note taking app. I am using this app for recording my kids voice notes and pictures for future memory. It is super fast and very convenient to use. Since I use it for memory my only concern about this app's usage in a longrun. It would be a great if this app is finished well. People wouldn't think for paying this beautiful app.,5,0,Ease of Use
"I love this app so much!! It helps me cause I have a lot of ideas and it's like texting so it's quite simple, I have a request though, maybe could you add that you can your notes and mix them together, because I made a mistake and I want to merge some of my notes into the other holder.",5,0,Request for Enhancements
"Note to self in text, audio and photos is great idea. Everything instant, so you don't risk looksing idea or be distracted. Search works perfectly as well. Kudos to the developer!",5,0,Search and Organization Tools
"I really love this app! Great work by the developer. It really helps with quick notes. Since I'm new to the app. Wasn't sure if there is a way to create custom categories and group notes into different categories. For example. Work, Play and Life. Looking forward to more features!",5,0,Search and Organization Tools
"Perfect app, the best I've ever seen. I have a suggestion, by the way. You should put Markdown support to make things easier and fancier than they already are. The markdown support would help the bucket list. For example, it would help by letting use to create a box for example",5,0,Request for Enhancements
"Great app! Very simple and easy to use, integrates with system as listed option in any share to i invoke! Big feature making this so useful. Lock notes with biometrics (fingerprint), no additional pin required💝 Dev, please consider: 1. obscure notes completely until unlocked 2. add scroll bar, with grab/fast seek arrows 3. explain what the 100 line is for (?🤷?) 4. allow for scheduled backups, encrypted too 😍 5. optional colorize chats inside notes (eye candy:) ps. Thank You! ✌️🕊️❤️‍🔥🪖✌️",5,0,Request for Enhancements
"I really appreciate that this app is free and secure. If subcategories were added, it would be PERFECT. I would happily pay a one-time payment for subcategories functionality, just please stay away from monthly subscription pricing!",5,0,Request for Enhancements
The app itself is amazing and very helpful. But I think it would come in handy if there was a home screen widget and users (including me) would love the feature. It makes it easier to use and behaves sort of like a reminder. Please consider this.,4,0,Reminders and Notifications
Really love this app for jotting down ideas in an organized way. Would love it if there was AMOLED dark mode though :),4,0,Positive User Experience
This is exactly what I was looking for to write down small thoughts throughout the day! Love the messaging UI 🤩,5,0,Unique Note Organization
"I've fallen in love! Took a day or two to settle into the simplicity of this note taking app, and now I can't think of anything more perfect for my needs. I even have one note group set up just to send myself positive well done messages and encouragement because hey, we could all do with a little more of that sometimes:) Thanks so much, developer. I appreciate your forward thinking and ethics. 5 stars!",5,0,Therapeutic Note-Taking
